collateral_id,loan_id,type,valuation_lkr,valuation_date,valuer_code,ltv_ratio,stale_flag,pledge_count,exposure_lkr,branch_code
COL-34891,BNK-CR-2025-0441,Commercial property,420000000,2022-06-15,VAL-007,0.94,true,1,287000000,BR-14
COL-29103,BNK-CR-2025-0872,Agriculture land,180000000,2023-07-22,VAL-007,0.72,true,1,144000000,BR-14
COL-41872,BNK-CR-2025-1567,Hospitality property,145000000,2023-04-11,VAL-007,0.81,true,1,112000000,BR-14
COL-38201,BNK-CR-2025-1122,Residential plot,310000000,2024-11-20,VAL-012,0.45,false,3,520000000,BR-14
COL-55112,BNK-CR-2025-2041,Commercial property,75000000,2024-08-10,VAL-003,0.89,false,1,67000000,BR-23
COL-12004,BNK-CR-2025-0334,Vehicle fleet,95000000,2025-01-15,VAL-003,0.67,false,1,63000000,BR-23
COL-24711,BNK-CR-2025-1203,Commercial building,240000000,2025-03-12,VAL-012,0.83,false,1,198000000,BR-14
COL-15012,BNK-CR-2025-0918,Office premises,140000000,2024-12-08,VAL-019,0.66,false,1,93000000,BR-56
COL-68801,BNK-CR-2025-0621,Residential property,210000000,2025-06-22,VAL-012,0.64,false,1,134000000,BR-11
COL-71202,BNK-CR-2025-1456,Infrastructure asset,310000000,2025-05-04,VAL-003,0.69,false,1,213000000,BR-41
COL-10201,BNK-CR-2025-0773,Commercial property,135000000,2025-02-18,VAL-019,0.66,false,1,89000000,BR-23
COL-28801,BNK-CR-2025-1788,Manufacturing plant,85000000,2024-10-30,VAL-007,0.65,false,1,55000000,BR-14
COL-33301,BNK-CR-2025-0445,Residential property,60000000,2025-01-20,VAL-003,0.58,false,1,35000000,BR-02
COL-44512,BNK-CR-2025-0518,Warehouse,95000000,2025-03-15,VAL-012,0.62,false,1,59000000,BR-08
COL-55015,BNK-CR-2025-0611,Land,180000000,2025-04-22,VAL-007,0.55,false,1,99000000,BR-15
COL-61002,BNK-CR-2025-0720,Commercial property,220000000,2025-05-11,VAL-019,0.68,false,1,150000000,BR-20
COL-70100,BNK-CR-2025-0820,Mixed-use,155000000,2025-06-02,VAL-003,0.71,false,1,110000000,BR-25
COL-81111,BNK-CR-2025-0901,Industrial,135000000,2025-06-14,VAL-012,0.64,false,1,86000000,BR-30
COL-88101,BNK-CR-2025-1001,Agriculture land,72000000,2023-09-10,VAL-007,0.78,true,1,56000000,BR-56
COL-91112,BNK-CR-2025-1111,Office space,110000000,2025-07-22,VAL-019,0.59,false,1,65000000,BR-40
