vendor_id,vendor_name,category,criticality,annual_spend_lkr,concentration_pct,contract_end_date,last_assessment_date,cbsl_category,exit_plan_status
VND-0012,Core Banking Platform Provider,Core Banking Platform,critical,820000000,78,2026-05-11,2024-10-22,material_outsourcing,absent
VND-0020,Secondary Core Banking,Core Banking Platform,high,90000000,8,2027-03-15,2025-06-14,,present
VND-0041,ATM Cash Services,ATM / Cash Services,high,310000000,67,2026-08-30,2025-01-14,,present
VND-0042,Alternative ATM Services,ATM / Cash Services,medium,80000000,17,2027-04-20,2025-05-22,,present
VND-0058,Card Personalisation,Cards Operations,high,140000000,52,2026-11-14,2025-03-18,material_outsourcing,partial
VND-0074,SWIFT Services,Payments,critical,98000000,95,2027-02-28,2025-07-04,material_outsourcing,present
VND-0087,HR Payroll Systems,HR,high,140000000,61,2026-04-10,2024-05-30,,absent
VND-0088,Alternative HR,HR,medium,35000000,15,2027-06-12,2025-08-19,,present
VND-0099,Cybersecurity MSSP,Cybersecurity,critical,210000000,88,2026-12-30,2025-04-08,material_outsourcing,present
VND-0102,Call Centre Services,Customer Service,medium,180000000,44,2027-01-20,2025-06-12,,present
VND-0115,Data Centre Co-location,Infrastructure,critical,160000000,58,2028-01-14,2025-07-22,material_outsourcing,present
VND-0121,DR Data Centre,Infrastructure,high,95000000,30,2027-11-02,2025-05-18,,present
VND-0138,Cleaning Services,Facilities,low,22000000,12,2026-08-14,2025-06-11,,n/a
VND-0150,Legal Counsel,Legal,medium,45000000,40,2027-02-16,2025-06-20,,present
VND-0175,Audit Services (External),Audit,critical,72000000,85,2027-04-01,2025-06-08,,present
VND-0184,Telecom (MPLS),Telecommunications,critical,130000000,72,2027-09-10,2025-05-14,material_outsourcing,partial
